Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50,1000,2340,1877,768,50582.30859,0.015183
2,1000,0.2,0.2,50,1000,2356,1877,759,50764.55859,0.014951
3,1000,0.2,0.2,50,1000,2332,1845,756,49407.11328,0.015301
4,1000,0.2,0.2,50,1000,2349,1895,765,51455.3125,0.014867
5,1000,0.2,0.2,50,1000,2186,1763,745,49373.30469,0.015089
6,1000,0.2,0.2,50,1000,2323,1850,765,50660.32031,0.015101
7,1000,0.2,0.2,50,1000,2379,1882,765,51040.99609,0.014988
8,1000,0.2,0.2,50,1000,2359,1912,772,50952.19531,0.015151
9,1000,0.2,0.2,50,1000,2400,1912,737,48831.69922,0.015093
10,1000,0.2,0.2,50,1000,2283,1834,748,49409.19141,0.015139
5.5,1000,0.2,0.2,50,1000,2330.7,1864.7,758,50247.7,0.0150863
