Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50,1000,3587,1780,499,50449.5625,0.009891
2,1000,0.5,0.2,50,1000,3394,1687,472,49926.78516,0.009454
3,1000,0.5,0.2,50,1000,3392,1660,483,50116.16406,0.009638
4,1000,0.5,0.2,50,1000,3409,1717,524,50608.53906,0.010354
5,1000,0.5,0.2,50,1000,3563,1730,494,50959.14453,0.009694
6,1000,0.5,0.2,50,1000,3508,1785,506,51604.93359,0.009805
7,1000,0.5,0.2,50,1000,3498,1716,464,50303.03906,0.009224
8,1000,0.5,0.2,50,1000,3238,1639,492,47848.40234,0.010282
9,1000,0.5,0.2,50,1000,3355,1638,476,48616.17188,0.009791
10,1000,0.5,0.2,50,1000,3617,1791,493,50925.07422,0.009681
5.5,1000,0.5,0.2,50,1000,3456.1,1714.3,490.3,50135.78164,0.0097814
