Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,4627,969,121,49948.48047,0.002422
2,1000,0.8,0.2,50,1000,4699,962,126,50730.16797,0.002484
3,1000,0.8,0.2,50,1000,4603,932,110,49240.26563,0.002234
4,1000,0.8,0.2,50,1000,4504,976,124,48454.43359,0.002559
5,1000,0.8,0.2,50,1000,4665,936,113,50099.70313,0.002256
6,1000,0.8,0.2,50,1000,4652,942,133,50613.66797,0.002628
7,1000,0.8,0.2,50,1000,4579,901,110,49392.30859,0.002227
8,1000,0.8,0.2,50,1000,4598,934,124,49821.23438,0.002489
9,1000,0.8,0.2,50,1000,4661,880,118,49396.15625,0.002389
10,1000,0.8,0.2,50,1000,4626,917,112,49989.81641,0.00224
5.5,1000,0.8,0.2,50,1000,4621.4,934.9,119.1,49768.62344,0.0023928
