Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,367100,7811,593,48898.000000,0.012127
2,1000,0.8,0.2,50.0,1000,980295,8688,252,48609.539062,0.005184
3,1000,0.8,0.2,50.0,1000,849042,8721,332,49856.000000,0.006659
4,1000,0.8,0.2,50.0,1000,39758,6874,954,50392.000000,0.018932
5,1000,0.8,0.2,50.0,1000,872797,8531,310,48954.000000,0.006332
6,1000,0.8,0.2,50.0,1000,730720,8302,381,48600.000000,0.007840
7,1000,0.8,0.2,50.0,1000,448524,8130,554,49825.000000,0.011119
8,1000,0.8,0.2,50.0,1000,475520,8684,545,51089.000000,0.010668
9,1000,0.8,0.2,50.0,1000,831237,8488,346,48560.000000,0.007125
10,1000,0.8,0.2,50.0,1000,788906,8566,371,49497.000000,0.007495
