Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,277109,7792,593,48790.750000,0.012154
2,1000,0.8,0.2,50.0,1000,523866,8749,252,48964.000000,0.005147
3,1000,0.8,0.2,50.0,1000,487048,8966,333,51259.000000,0.006496
4,1000,0.8,0.2,50.0,1000,39758,6874,954,50392.000000,0.018932
5,1000,0.8,0.2,50.0,1000,475201,8457,310,48571.765625,0.006382
6,1000,0.8,0.2,50.0,1000,430498,8466,383,49503.000000,0.007737
7,1000,0.8,0.2,50.0,1000,309282,8001,553,49092.000000,0.011265
8,1000,0.8,0.2,50.0,1000,326329,8592,543,50622.000000,0.010727
9,1000,0.8,0.2,50.0,1000,466613,8561,346,48959.992188,0.007067
10,1000,0.8,0.2,50.0,1000,434940,8349,365,48289.000000,0.007559
