Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6465,3202,997,49948.000000,0.019961
2,1000,0.5,0.2,50.0,1000,6463,3183,999,49602.000000,0.020140
3,1000,0.5,0.2,50.0,1000,6656,3316,999,49660.000000,0.020117
4,1000,0.5,0.2,50.0,1000,6220,3144,998,50451.000000,0.019782
5,1000,0.5,0.2,50.0,1000,6483,3252,999,50232.335938,0.019888
6,1000,0.5,0.2,50.0,1000,6438,3296,999,51314.000000,0.019468
7,1000,0.5,0.2,50.0,1000,6498,3208,999,49468.000000,0.020195
8,1000,0.5,0.2,50.0,1000,6565,3280,999,50060.000000,0.019956
9,1000,0.5,0.2,50.0,1000,6537,3257,999,48712.000000,0.020508
10,1000,0.5,0.2,50.0,1000,6741,3380,999,49922.000000,0.020011
