Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50,1000,1925,1534,999,50084,0.019946
2,1000,0.2,0.2,50,1000,1956,1575,999,51525,0.019389
3,1000,0.2,0.2,50,1000,1982,1585,999,49620,0.020133
4,1000,0.2,0.2,50,1000,1956,1553,999,47995,0.020815
5,1000,0.2,0.2,50,1000,1961,1566,999,51747,0.019305
6,1000,0.2,0.2,50,1000,1971,1589,999,51219,0.019504
7,1000,0.2,0.2,50,1000,1959,1572,999,51182,0.019519
8,1000,0.2,0.2,50,1000,1904,1505,999,49985,0.019986
9,1000,0.2,0.2,50,1000,1991,1580,999,50479,0.01979
10,1000,0.2,0.2,50,1000,1933,1548,999,49436,0.020208
5.5,1000,0.2,0.2,50,1000,1953.8,1560.7,999,50327.2,0.0198595
