Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,669911,9089,123,50909.648438,0.002416
2,1000,0.8,0.2,50.0,1000,637666,8987,168,50000.773438,0.003360
3,1000,0.8,0.2,50.0,1000,643817,8938,125,49873.507812,0.002506
4,1000,0.8,0.2,50.0,1000,587341,8618,222,50617.144531,0.004386
5,1000,0.8,0.2,50.0,1000,570964,8418,226,48908.191406,0.004621
6,1000,0.8,0.2,50.0,1000,636761,8906,149,50138.039062,0.002972
7,1000,0.8,0.2,50.0,1000,634012,8738,149,48919.503906,0.003046
8,1000,0.8,0.2,50.0,1000,669792,9022,128,50269.320312,0.002546
9,1000,0.8,0.2,50.0,1000,649809,8848,138,49912.601562,0.002765
10,1000,0.8,0.2,50.0,1000,655140,8844,109,49550.269531,0.002200
