Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,1340264,9286,247,52273.000000,0.004725
2,1000,0.8,0.2,50.0,1000,1336689,9010,224,49999.000000,0.004480
3,1000,0.8,0.2,50.0,1000,345863,8692,383,49603.808594,0.007721
4,1000,0.8,0.2,50.0,1000,1322941,9053,238,50341.000000,0.004728
5,1000,0.8,0.2,50.0,1000,473690,8454,410,49678.000000,0.008253
6,1000,0.8,0.2,50.0,1000,976671,8898,346,50849.000000,0.006804
7,1000,0.8,0.2,50.0,1000,203004,8925,343,50689.000000,0.006767
8,1000,0.8,0.2,50.0,1000,1312857,9054,260,51020.000000,0.005096
9,1000,0.8,0.2,50.0,1000,1214431,9021,277,50991.000000,0.005432
10,1000,0.8,0.2,50.0,1000,1255438,8952,261,50276.000000,0.005191
