Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,646,328,104,50770.000000,0.002048
2,1000,0.5,0.2,50.0,1000,908544,8081,341,50822.000000,0.006710
3,1000,0.5,0.2,50.0,1000,4433,2244,247,48860.000000,0.005055
4,1000,0.5,0.2,50.0,1000,6220,3144,998,50451.000000,0.019782
5,1000,0.5,0.2,50.0,1000,16941,8068,198,51503.000000,0.003844
6,1000,0.5,0.2,50.0,1000,4257,2158,75,51423.000000,0.001458
7,1000,0.5,0.2,50.0,1000,6212,3074,828,50067.000000,0.016538
8,1000,0.5,0.2,50.0,1000,4151,2107,64,50227.000000,0.001274
9,1000,0.5,0.2,50.0,1000,4013,2013,31,50376.000000,0.000615
10,1000,0.5,0.2,50.0,1000,4123,2043,75,50130.000000,0.001496
