Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,351492,8884,130,49678.046875,0.002617
2,1000,0.8,0.2,50.0,1000,326927,8620,165,47902.246094,0.003445
3,1000,0.8,0.2,50.0,1000,366261,9246,125,51636.335938,0.002421
4,1000,0.8,0.2,50.0,1000,321255,8578,235,50377.539062,0.004665
5,1000,0.8,0.2,50.0,1000,327846,8470,220,49213.695312,0.004470
6,1000,0.8,0.2,50.0,1000,355726,9089,170,51119.953125,0.003326
7,1000,0.8,0.2,50.0,1000,366122,9086,168,50910.179688,0.003300
8,1000,0.8,0.2,50.0,1000,366242,8990,138,50056.617188,0.002757
9,1000,0.8,0.2,50.0,1000,360059,8988,136,50675.906250,0.002684
10,1000,0.8,0.2,50.0,1000,370269,9075,120,50785.039062,0.002363
