Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50,1000,6578,3251,999,50544.27734,0.019765
2,1000,0.5,0.2,50,1000,6450,3203,997,50499.65625,0.019743
3,1000,0.5,0.2,50,1000,40957,5088,786,50453.60547,0.015579
4,1000,0.5,0.2,50,1000,6744,3356,999,49641.77344,0.020124
5,1000,0.5,0.2,50,1000,6580,3292,999,50114.55469,0.019934
6,1000,0.5,0.2,50,1000,6697,3357,999,51627.82813,0.01935
7,1000,0.5,0.2,50,1000,6704,3298,999,50404.77734,0.01982
8,1000,0.5,0.2,50,1000,6479,3193,999,50322,0.019852
9,1000,0.5,0.2,50,1000,6655,3333,999,49170.69922,0.020317
10,1000,0.5,0.2,50,1000,63538,6068,618,50474.84375,0.012244
5.5,1000,0.5,0.2,50,1000,15738.2,3743.9,939.4,50325.40156,0.0186728
