Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,10000,0.0,0.0,0.1,10000,2287,191,53,1007.232788,0.052619
2,10000,0.0,0.0,0.1,10000,2441,184,55,990.000000,0.055556
3,10000,0.0,0.0,0.1,10000,2238,177,52,992.716431,0.052382
4,10000,0.0,0.0,0.1,10000,2357,180,53,1008.197510,0.052569
5,10000,0.0,0.0,0.1,10000,2301,180,52,1001.519897,0.051921
6,10000,0.0,0.0,0.1,10000,2306,178,53,1001.813293,0.052904
7,10000,0.0,0.0,0.1,10000,2250,185,54,993.118286,0.054374
8,10000,0.0,0.0,0.1,10000,2306,188,53,1003.404541,0.052820
9,10000,0.0,0.0,0.1,10000,2410,195,54,999.741821,0.054014
10,10000,0.0,0.0,0.1,10000,2246,192,54,1004.426941,0.053762
