Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,10000,0.0,0.0,0.1,10000,719,188,109,998.255859,0.109190
2,10000,0.0,0.0,0.1,10000,711,184,105,995.635864,0.105460
3,10000,0.0,0.0,0.1,10000,1212,181,105,992.790100,0.105763
4,10000,0.0,0.0,0.1,10000,1190,190,190,1006.711548,0.188733
5,10000,0.0,0.0,0.1,10000,2222,181,109,1004.100037,0.108555
6,10000,0.0,0.0,0.1,10000,4220,169,106,1011.536804,0.104791
7,10000,0.0,0.0,0.1,10000,682,189,189,999.908508,0.189017
8,10000,0.0,0.0,0.1,10000,2707,183,101,1002.580200,0.100740
9,10000,0.0,0.0,0.1,10000,1783,194,194,1002.612915,0.193494
10,10000,0.0,0.0,0.1,10000,1672,175,175,995.290588,0.175828
