Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,10000,0.0,0.0,0.1,10000,35655,191,161,1002.077026,0.160666
2,10000,0.0,0.0,0.1,10000,35717,181,157,999.152344,0.157133
3,10000,0.0,0.0,0.1,10000,35650,180,152,1001.783813,0.151729
4,10000,0.0,0.0,0.1,10000,35270,192,163,993.250305,0.164108
5,10000,0.0,0.0,0.1,10000,35680,186,158,1002.742920,0.157568
6,10000,0.0,0.0,0.1,10000,35873,181,160,1005.560425,0.159115
7,10000,0.0,0.0,0.1,10000,35680,179,159,1001.423279,0.158774
8,10000,0.0,0.0,0.1,10000,35379,182,158,993.372925,0.159054
9,10000,0.0,0.0,0.1,10000,35029,186,161,987.400024,0.163054
10,10000,0.0,0.0,0.1,10000,35901,201,169,1008.312622,0.167607
