Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0,0,5,1000,1116,911,549,5113.483398,0.107363
2,1000,0,0,5,1000,962,937,696,5001.658691,0.139154
3,1000,0,0,5,1000,1073,889,493,4942.962402,0.099738
4,1000,0,0,5,1000,1147,929,623,5128.410156,0.12148
5,1000,0,0,5,1000,918,866,286,4903.583496,0.058325
6,1000,0,0,5,1000,1027,894,393,5102.822266,0.077016
7,1000,0,0,5,1000,989,936,634,5116.255859,0.123919
8,1000,0,0,5,1000,946,902,525,5068.666504,0.103578
9,1000,0,0,5,1000,991,944,849,5031.005859,0.168754
10,1000,0,0,5,1000,1067,868,657,4871.401367,0.134869
5.5,1000,0,0,5,1000,1023.6,907.6,570.5,5028.025,0.1134196
