Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,10000,0.0,0.0,0.1,10000,415,179,18,1003.000000,0.017946
2,10000,0.0,0.0,0.1,10000,345,184,18,996.709167,0.018059
3,10000,0.0,0.0,0.1,10000,386,179,19,995.000000,0.019095
4,10000,0.0,0.0,0.1,10000,374,184,20,1003.931580,0.019922
5,10000,0.0,0.0,0.1,10000,374,179,20,1005.843201,0.019884
6,10000,0.0,0.0,0.1,10000,416,182,18,1007.056519,0.017874
7,10000,0.0,0.0,0.1,10000,356,195,20,994.421143,0.020112
8,10000,0.0,0.0,0.1,10000,390,178,19,1008.469849,0.018840
9,10000,0.0,0.0,0.1,10000,381,181,18,992.763489,0.018131
10,10000,0.0,0.0,0.1,10000,382,177,17,998.328369,0.017028
