Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,10000,0.0,0.0,0.1,10000,5510,193,101,1003.919861,0.100606
2,10000,0.0,0.0,0.1,10000,5624,191,102,991.386536,0.102886
3,10000,0.0,0.0,0.1,10000,5519,181,101,1002.266479,0.100772
4,10000,0.0,0.0,0.1,10000,5620,188,103,994.393433,0.103581
5,10000,0.0,0.0,0.1,10000,5382,186,101,1004.323486,0.100565
6,10000,0.0,0.0,0.1,10000,5575,171,102,999.124756,0.102089
7,10000,0.0,0.0,0.1,10000,5454,182,102,995.936279,0.102416
8,10000,0.0,0.0,0.1,10000,5542,190,101,1010.871155,0.099914
9,10000,0.0,0.0,0.1,10000,5553,186,102,1001.516785,0.101846
10,10000,0.0,0.0,0.1,10000,5455,188,102,1001.622559,0.101835
