Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,10000,0,0,0.1,10000,301,190,100,1003.450989,0.099656
2,10000,0,0,0.1,10000,301,186,100,995.699036,0.100432
3,10000,0,0,0.1,10000,604,179,100,993.721924,0.100632
4,10000,0,0,0.1,10000,274,193,193,1003.121582,0.192399
5,10000,0,0,0.1,10000,402,178,100,1001.700562,0.09983
6,10000,0,0,0.1,10000,705,170,100,1006.460144,0.099358
7,10000,0,0,0.1,10000,382,187,187,992.258972,0.188459
8,10000,0,0,0.1,10000,301,184,100,1011.231934,0.098889
9,10000,0,0,0.1,10000,507,182,103,993.141602,0.103711
10,10000,0,0,0.1,10000,381,182,182,1003.096497,0.181438
5.5,10000,0,0,0.1,10000,415.8,183.1,126.5,1000.388324,0.1264804
