Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,10000,0.0,0.0,0.1,10000,178,176,155,1003.852600,0.154405
2,10000,0.0,0.0,0.1,10000,181,181,127,999.535278,0.127059
3,10000,0.0,0.0,0.1,10000,180,179,136,994.705811,0.136724
4,10000,0.0,0.0,0.1,10000,187,184,162,1005.056213,0.161185
5,10000,0.0,0.0,0.1,10000,174,168,103,1002.331604,0.102760
6,10000,0.0,0.0,0.1,10000,182,172,140,1007.020447,0.139024
7,10000,0.0,0.0,0.1,10000,187,182,138,993.989136,0.138835
8,10000,0.0,0.0,0.1,10000,183,176,133,1008.886047,0.131829
9,10000,0.0,0.0,0.1,10000,182,178,167,985.964478,0.169377
10,10000,0.0,0.0,0.1,10000,192,184,152,1002.990234,0.151547
