Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.3,0.2,50,1000,2638,1821,686,48826.17188,0.01405
2,1000,0.3,0.2,50,1000,2668,1871,695,49980.28516,0.013905
3,1000,0.3,0.2,50,1000,2747,1888,682,50872.87891,0.013406
4,1000,0.3,0.2,50,1000,2644,1877,690,50383.8125,0.013695
5,1000,0.3,0.2,50,1000,2642,1848,714,50651.46875,0.014096
6,1000,0.3,0.2,50,1000,2656,1887,708,50465.16406,0.014029
7,1000,0.3,0.2,50,1000,2729,1889,688,51143.00781,0.013452
8,1000,0.3,0.2,50,1000,2642,1832,703,50089.44141,0.014035
9,1000,0.3,0.2,50,1000,2758,1887,674,49102.36328,0.013726
10,1000,0.3,0.2,50,1000,2647,1874,705,50797.94531,0.013879
,,,,,,,,,,0.0138273
