Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,30925,6244,113,49836.08203,0.002267
2,1000,0.8,0.2,50,1000,31565,6297,158,50921.71094,0.003103
3,1000,0.8,0.2,50,1000,30380,6021,128,50637.59766,0.002528
4,1000,0.8,0.2,50,1000,29322,5839,117,48282.71094,0.002423
5,1000,0.8,0.2,50,1000,30199,5989,144,50082.54297,0.002875
6,1000,0.8,0.2,50,1000,30977,6236,139,51289.8125,0.00271
7,1000,0.8,0.2,50,1000,30843,6084,128,50526.46094,0.002533
8,1000,0.8,0.2,50,1000,30538,6219,132,49835.39063,0.002649
9,1000,0.8,0.2,50,1000,29477,5977,152,49146.61719,0.003093
10,1000,0.8,0.2,50,1000,30303,6000,118,49669.45313,0.002376
5.5,1000,0.8,0.2,50,1000,30452.9,6090.6,132.9,50022.83789,0.0026557
