Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2617,2091,999,49462.000000,0.020197
2,1000,0.2,0.2,50.0,1000,2640,2121,999,50505.472656,0.019780
3,1000,0.2,0.2,50.0,1000,2642,2106,999,48960.000000,0.020404
4,1000,0.2,0.2,50.0,1000,2585,2071,998,50420.000000,0.019794
5,1000,0.2,0.2,50.0,1000,2481,2016,999,50094.000000,0.019943
6,1000,0.2,0.2,50.0,1000,2569,2060,997,49714.000000,0.020055
7,1000,0.2,0.2,50.0,1000,2651,2113,999,49841.000000,0.020044
8,1000,0.2,0.2,50.0,1000,2559,2021,999,50056.000000,0.019958
9,1000,0.2,0.2,50.0,1000,2686,2132,999,49857.000000,0.020037
10,1000,0.2,0.2,50.0,1000,2598,2069,999,49821.000000,0.020052
