Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.3,0.2,50.0,1000,5173,3609,696,49956.218750,0.013932
2,1000,0.3,0.2,50.0,1000,5014,3533,704,49234.570312,0.014299
3,1000,0.3,0.2,50.0,1000,5489,3795,639,49511.132812,0.012906
4,1000,0.3,0.2,50.0,1000,5340,3743,652,51249.664062,0.012722
5,1000,0.3,0.2,50.0,1000,5137,3668,689,51269.941406,0.013439
6,1000,0.3,0.2,50.0,1000,5016,3520,667,51187.457031,0.013031
7,1000,0.3,0.2,50.0,1000,5414,3789,725,50396.320312,0.014386
8,1000,0.3,0.2,50.0,1000,5045,3587,716,50447.566406,0.014193
9,1000,0.3,0.2,50.0,1000,5667,3886,577,48712.378906,0.011845
10,1000,0.3,0.2,50.0,1000,5110,3590,723,49177.335938,0.014702
