Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2617,2091,999,49462.000000,0.020197
2,1000,0.2,0.2,50.0,1000,2640,2121,999,50505.472656,0.019780
3,1000,0.2,0.2,50.0,1000,2621,2083,999,48929.000000,0.020417
4,1000,0.2,0.2,50.0,1000,2585,2071,998,50420.000000,0.019794
5,1000,0.2,0.2,50.0,1000,2481,2016,999,50094.000000,0.019943
6,1000,0.2,0.2,50.0,1000,2574,2059,999,49937.000000,0.020005
7,1000,0.2,0.2,50.0,1000,2640,2085,999,49547.000000,0.020163
8,1000,0.2,0.2,50.0,1000,2559,2021,999,50056.000000,0.019958
9,1000,0.2,0.2,50.0,1000,2690,2133,999,49943.000000,0.020003
10,1000,0.2,0.2,50.0,1000,2598,2069,999,49821.000000,0.020052
