Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9394,3779,999,49741.480469,0.020084
2,1000,0.6,0.2,50.0,1000,9482,3799,999,49381.644531,0.020230
3,1000,0.6,0.2,50.0,1000,8979,3547,998,49895.054688,0.020002
4,1000,0.6,0.2,50.0,1000,9006,3672,997,51346.937500,0.019417
5,1000,0.6,0.2,50.0,1000,31984,8712,154,49112.355469,0.003136
6,1000,0.6,0.2,50.0,1000,8995,3628,996,50284.496094,0.019807
7,1000,0.6,0.2,50.0,1000,9261,3668,997,50508.824219,0.019739
8,1000,0.6,0.2,50.0,1000,17939,5505,706,48820.230469,0.014461
9,1000,0.6,0.2,50.0,1000,33162,9103,168,50384.246094,0.003334
10,1000,0.6,0.2,50.0,1000,8923,3595,997,50771.074219,0.019637
