Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50,1000,3172,2851,999,49375.02734,0.020233
2,1000,0.1,0.2,50,1000,3249,2943,999,51582.24219,0.019367
3,1000,0.1,0.2,50,1000,3286,2938,999,49241.70313,0.020288
4,1000,0.1,0.2,50,1000,3149,2835,999,49281.27734,0.020271
5,1000,0.1,0.2,50,1000,3111,2842,998,50244.75,0.019863
6,1000,0.1,0.2,50,1000,3165,2859,999,49025.82031,0.020377
7,1000,0.1,0.2,50,1000,3207,2857,999,49481.90234,0.020189
8,1000,0.1,0.2,50,1000,3206,2867,999,48915.5625,0.020423
9,1000,0.1,0.2,50,1000,3246,2888,999,49767.27344,0.020073
10,1000,0.1,0.2,50,1000,3194,2921,999,50319.12891,0.019853
5.5,1000,0.1,0.2,50,1000,3198.5,2880.1,998.9,49723.46875,0.0200937
