Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1596,1442,999,50663.000000,0.019719
2,1000,0.1,0.2,50.0,1000,1600,1417,999,50793.000000,0.019668
3,1000,0.1,0.2,50.0,1000,1623,1462,999,50848.000000,0.019647
4,1000,0.1,0.2,50.0,1000,1576,1419,999,50266.000000,0.019874
5,1000,0.1,0.2,50.0,1000,1559,1413,999,51134.000000,0.019537
6,1000,0.1,0.2,50.0,1000,1526,1377,999,48589.000000,0.020560
7,1000,0.1,0.2,50.0,1000,1650,1472,999,50122.000000,0.019931
8,1000,0.1,0.2,50.0,1000,1518,1374,999,48609.000000,0.020552
9,1000,0.1,0.2,50.0,1000,1662,1479,999,50571.000000,0.019754
10,1000,0.1,0.2,50.0,1000,1567,1399,999,48497.000000,0.020599
