Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3281,1941,999,50281.000000,0.019868
2,1000,0.4,0.2,50.0,1000,3357,1999,999,49904.000000,0.020018
3,1000,0.4,0.2,50.0,1000,3358,1994,998,49189.000000,0.020289
4,1000,0.4,0.2,50.0,1000,3142,1916,999,49282.000000,0.020271
5,1000,0.4,0.2,50.0,1000,3183,1925,999,49775.000000,0.020070
6,1000,0.4,0.2,50.0,1000,3304,1977,998,50476.000000,0.019772
7,1000,0.4,0.2,50.0,1000,3408,2032,999,51103.000000,0.019549
8,1000,0.4,0.2,50.0,1000,3305,1975,999,51231.000000,0.019500
9,1000,0.4,0.2,50.0,1000,3334,2020,999,48546.000000,0.020578
10,1000,0.4,0.2,50.0,1000,3425,2063,999,50230.000000,0.019889
