Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3208,2595,999,50167.957031,0.019913
2,1000,0.2,0.2,50.0,1000,3729,2997,999,49798.925781,0.020061
3,1000,0.2,0.2,50.0,1000,3564,2848,996,50231.199219,0.019828
4,1000,0.2,0.2,50.0,1000,14151,7453,342,49339.851562,0.006932
5,1000,0.2,0.2,50.0,1000,3784,3017,998,51545.464844,0.019362
6,1000,0.2,0.2,50.0,1000,3594,2912,906,50389.492188,0.017980
7,1000,0.2,0.2,50.0,1000,3803,3051,999,50255.117188,0.019879
8,1000,0.2,0.2,50.0,1000,3730,3009,997,48498.894531,0.020557
9,1000,0.2,0.2,50.0,1000,4174,3326,997,49138.695312,0.020290
10,1000,0.2,0.2,50.0,1000,3761,2948,993,49832.550781,0.019927
