Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,118771,9072,76,49992.515625,0.001520
2,1000,0.1,0.2,50.0,1000,93177,8952,84,50041.218750,0.001679
3,1000,0.1,0.2,50.0,1000,98794,8950,77,49306.203125,0.001562
4,1000,0.1,0.2,50.0,1000,99273,8983,82,49695.546875,0.001650
5,1000,0.1,0.2,50.0,1000,94414,8822,81,48899.539062,0.001656
6,1000,0.1,0.2,50.0,1000,95298,8966,76,49557.660156,0.001534
7,1000,0.1,0.2,50.0,1000,118699,8946,83,49304.976562,0.001683
8,1000,0.1,0.2,50.0,1000,114856,9055,88,50930.742188,0.001728
9,1000,0.1,0.2,50.0,1000,123414,8862,83,49148.085938,0.001689
10,1000,0.1,0.2,50.0,1000,105116,9037,87,50282.035156,0.001730
