Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9394,3779,999,49741.480469,0.020084
2,1000,0.6,0.2,50.0,1000,9482,3799,999,49381.644531,0.020230
3,1000,0.6,0.2,50.0,1000,8979,3547,998,49895.054688,0.020002
4,1000,0.6,0.2,50.0,1000,9006,3672,997,51346.937500,0.019417
5,1000,0.6,0.2,50.0,1000,136093,8592,191,48679.402344,0.003924
6,1000,0.6,0.2,50.0,1000,47661,5313,797,50929.007812,0.015649
7,1000,0.6,0.2,50.0,1000,9606,3793,999,50343.488281,0.019844
8,1000,0.6,0.2,50.0,1000,59979,5768,727,50354.218750,0.014438
9,1000,0.6,0.2,50.0,1000,148041,9356,147,51543.515625,0.002852
10,1000,0.6,0.2,50.0,1000,9410,3809,998,50290.062500,0.019845
