Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9738,3936,998,48849.000000,0.020430
2,1000,0.6,0.2,50.0,1000,10141,3995,999,49033.000000,0.020374
3,1000,0.6,0.2,50.0,1000,30816,8563,153,48323.000000,0.003166
4,1000,0.6,0.2,50.0,1000,9584,3890,999,51302.000000,0.019473
5,1000,0.6,0.2,50.0,1000,17447,5685,775,51588.000000,0.015023
6,1000,0.6,0.2,50.0,1000,9665,3879,999,51170.433594,0.019523
7,1000,0.6,0.2,50.0,1000,9795,3917,999,49172.000000,0.020316
8,1000,0.6,0.2,50.0,1000,9663,3866,997,51910.000000,0.019206
9,1000,0.6,0.2,50.0,1000,9738,3836,999,48499.000000,0.020598
10,1000,0.6,0.2,50.0,1000,10100,4055,996,50240.000000,0.019825
