Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50,1000,5317,3159,999,49749.66797,0.020081
2,1000,0.4,0.2,50,1000,5392,3283,998,48372.45313,0.020632
3,1000,0.4,0.2,50,1000,5237,3125,999,50011.38281,0.019975
4,1000,0.4,0.2,50,1000,5373,3147,997,51457.73047,0.019375
5,1000,0.4,0.2,50,1000,5167,3115,999,50650.72656,0.019723
6,1000,0.4,0.2,50,1000,5234,3154,999,50089.59766,0.019944
7,1000,0.4,0.2,50,1000,5568,3297,998,50041.83203,0.019943
8,1000,0.4,0.2,50,1000,5186,3223,999,49272.46875,0.020275
9,1000,0.4,0.2,50,1000,5152,3121,999,48004.27344,0.020811
10,1000,0.4,0.2,50,1000,5239,3135,999,48527.3125,0.020586
5.5,1000,0.4,0.2,50,1000,5286.5,3175.9,998.6,49617.74453,0.0201345
