Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,30935,6191,954,50847.000000,0.018762
2,1000,0.8,0.2,50.0,1000,31259,6280,566,50817.000000,0.011138
3,1000,0.8,0.2,50.0,1000,30552,5987,894,49967.968750,0.017891
4,1000,0.8,0.2,50.0,1000,30056,6022,799,49195.960938,0.016241
5,1000,0.8,0.2,50.0,1000,30202,5992,714,49846.000000,0.014324
6,1000,0.8,0.2,50.0,1000,30922,6221,889,51227.000000,0.017354
7,1000,0.8,0.2,50.0,1000,31275,6188,952,50444.000000,0.018872
8,1000,0.8,0.2,50.0,1000,29742,6055,767,48171.000000,0.015922
9,1000,0.8,0.2,50.0,1000,30481,6266,912,49050.000000,0.018593
10,1000,0.8,0.2,50.0,1000,31273,6268,881,50377.000000,0.017488
