Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,4627,969,121,49948.480469,0.002422
2,1000,0.8,0.2,50.0,1000,4699,962,126,50730.167969,0.002484
3,1000,0.8,0.2,50.0,1000,4603,932,110,49240.265625,0.002234
4,1000,0.8,0.2,50.0,1000,4504,976,124,48454.433594,0.002559
5,1000,0.8,0.2,50.0,1000,4665,936,113,50099.703125,0.002256
6,1000,0.8,0.2,50.0,1000,4652,942,133,50613.667969,0.002628
7,1000,0.8,0.2,50.0,1000,4579,901,110,49392.308594,0.002227
8,1000,0.8,0.2,50.0,1000,4598,934,124,49821.234375,0.002489
9,1000,0.8,0.2,50.0,1000,4661,880,118,49396.156250,0.002389
10,1000,0.8,0.2,50.0,1000,4626,917,112,49989.816406,0.002240
