Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,5317,3159,999,49749.667969,0.020081
2,1000,0.4,0.2,50.0,1000,5392,3283,998,48372.453125,0.020632
3,1000,0.4,0.2,50.0,1000,5237,3125,999,50011.382812,0.019975
4,1000,0.4,0.2,50.0,1000,5373,3147,997,51457.730469,0.019375
5,1000,0.4,0.2,50.0,1000,5167,3115,999,50650.726562,0.019723
6,1000,0.4,0.2,50.0,1000,5234,3154,999,50089.597656,0.019944
7,1000,0.4,0.2,50.0,1000,5568,3297,998,50041.832031,0.019943
8,1000,0.4,0.2,50.0,1000,5186,3223,999,49272.468750,0.020275
9,1000,0.4,0.2,50.0,1000,5152,3121,999,48004.273438,0.020811
10,1000,0.4,0.2,50.0,1000,5239,3135,999,48527.312500,0.020586
