Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3163,1919,999,48784.000000,0.020478
2,1000,0.4,0.2,50.0,1000,3416,2044,999,49767.000000,0.020074
3,1000,0.4,0.2,50.0,1000,3231,1949,999,50221.000000,0.019892
4,1000,0.4,0.2,50.0,1000,3102,1859,999,49129.000000,0.020334
5,1000,0.4,0.2,50.0,1000,3200,1935,999,50562.000000,0.019758
6,1000,0.4,0.2,50.0,1000,3150,1935,999,50438.000000,0.019806
7,1000,0.4,0.2,50.0,1000,3521,2079,997,51137.000000,0.019497
8,1000,0.4,0.2,50.0,1000,3151,1884,999,48497.000000,0.020599
9,1000,0.4,0.2,50.0,1000,3196,1940,999,48517.000000,0.020591
10,1000,0.4,0.2,50.0,1000,2934,1775,893,49503.000000,0.018039
