Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9767,3967,998,48278.000000,0.020672
2,1000,0.6,0.2,50.0,1000,10373,4100,999,49704.000000,0.020099
3,1000,0.6,0.2,50.0,1000,10432,4181,998,49205.000000,0.020282
4,1000,0.6,0.2,50.0,1000,9391,3813,998,49150.000000,0.020305
5,1000,0.6,0.2,50.0,1000,10186,4037,998,50235.000000,0.019867
6,1000,0.6,0.2,50.0,1000,9704,3864,998,51786.000000,0.019272
7,1000,0.6,0.2,50.0,1000,60771,6063,710,50185.000000,0.014148
8,1000,0.6,0.2,50.0,1000,9796,3875,998,48875.000000,0.020419
9,1000,0.6,0.2,50.0,1000,10190,4010,996,49696.000000,0.020042
10,1000,0.6,0.2,50.0,1000,9938,4013,997,50671.000000,0.019676
