1,1000,0.8,0.2,50,1000,103346,7595,599,48281,0.012407
2,1000,0.8,0.2,50,1000,164510,9039,297,51880,0.005725
3,1000,0.8,0.2,50,1000,164834,8750,256,49673.83594,0.005154
4,1000,0.8,0.2,50,1000,149840,8464,342,49789,0.006869
5,1000,0.8,0.2,50,1000,103119,8086,626,49411,0.012669
6,1000,0.8,0.2,50,1000,151226,8472,340,49854,0.00682
7,1000,0.8,0.2,50,1000,167963,8716,235,49485,0.004749
8,1000,0.8,0.2,50,1000,127443,8136,467,50880,0.009178
9,1000,0.8,0.2,50,1000,32912,6624,999,50712,0.019699
10,1000,0.8,0.2,50,1000,168456,8704,235,49850,0.004714
,,,,,,,,,,0.0087984
