Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,1252203,8844,121,49489.683594,0.002445
2,1000,0.8,0.2,50.0,1000,1276940,9150,168,50870.312500,0.003303
3,1000,0.8,0.2,50.0,1000,1334598,9065,126,50599.453125,0.002490
4,1000,0.8,0.2,50.0,1000,1133414,8586,222,50398.894531,0.004405
5,1000,0.8,0.2,50.0,1000,1103060,8514,226,49444.515625,0.004571
6,1000,0.8,0.2,50.0,1000,1238222,8925,149,50224.074219,0.002967
7,1000,0.8,0.2,50.0,1000,1317959,9176,151,51374.796875,0.002939
8,1000,0.8,0.2,50.0,1000,1338231,9022,128,50269.320312,0.002546
9,1000,0.8,0.2,50.0,1000,1302106,8978,139,50626.285156,0.002746
10,1000,0.8,0.2,50.0,1000,1280680,8571,109,48015.906250,0.002270
